state_normalized,landslide_records,unique_districts,latitude_mean,longitude_mean
Himachal Pradesh,6607,14,31.50201382889965,77.00306402213712
Uttarakhand,5523,20,30.140371901441245,79.07352632282637
Mizoram,3487,16,23.421181467961,92.85948624224548
Kerala,3380,15,10.494595994743197,76.66382629901183
Jammu & Kashmir (UT),2589,34,33.13877151094245,75.46162047855157
West Bengal,2261,3,26.980308791654135,88.54374564378594
Nagaland,1902,14,25.963293966519455,94.40971457021031
Manipur,1631,19,24.795876423862662,93.93731950574494
Karnataka,1550,22,13.741905168516128,75.05064856136775
Maharashtra,1502,38,17.659897341524633,73.63203713440745
Tamil Nadu,1362,9,10.903902556791483,76.9638777143025
Arunachal Pradesh,1223,25,27.803930009910054,94.61186199421095
Meghalaya,1052,14,25.450199133488592,91.72714101850761
Assam,856,18,25.57532203008178,92.79845101268691
Sikkim,777,14,27.291067415572716,88.45116855006435
UT: Ladakh,169,2,33.62644970414201,77.5424852071006
Tripura,97,5,24.02367627257732,92.15826367804122
Goa,68,2,15.423743779411765,74.15869697058824
Andhra Pradesh,29,1,18.275048551724137,82.96240610344827
Punjab,3,1,32.56374333333333,75.882589
Madhya Pradesh,1,1,21.98111,77.895
Rajasthan,1,1,26.11,74.76
