state_normalized,landslide_events,first_event,last_event,average_latitude,average_longitude
Jammu and Kashmir,204,2007-03-12 00:00:00,2016-08-07 03:00:00,33.51879373098039,75.24288598367647
Uttarakhand,189,2007-07-30 00:00:00,2016-10-04 00:00:00,30.324449697830687,78.9953800842328
Himachal Pradesh,153,2007-08-12 00:00:00,2016-10-03 11:00:00,31.609722769934642,77.23101415718953
Assam,82,2007-07-19 00:00:00,2016-07-20 00:00:00,25.697624272560976,92.4684423797561
Nagaland,78,2007-08-28 00:00:00,2016-07-28 23:00:00,25.912761605384613,94.39721123089744
West Bengal,74,2007-06-13 00:00:00,2016-10-15 00:00:00,26.83828535581081,88.34459821324324
Maharashtra,70,2007-06-25 00:00:00,2016-08-03 09:00:00,18.578567228285713,73.3683221397143
Manipur,56,2007-08-26 00:00:00,2016-07-25 12:30:00,24.858927521964286,94.00645746785713
Kerala,50,2007-06-25 00:00:00,2016-06-15 09:00:00,10.07677386352,76.63452075000001
Arunachal Pradesh,45,2008-06-14 00:00:00,2016-08-05 00:00:00,27.746212731111108,94.26952941933334
Tamil Nadu,40,2007-10-25 00:00:00,2016-07-07 00:00:00,10.798525,77.3612325
Sikkim,31,2007-05-23 00:00:00,2016-10-15 00:00:00,27.263490317096775,88.53055590225806
Karnataka,30,2007-08-09 00:00:00,2016-10-11 03:30:00,13.381173634,74.99927869866666
Meghalaya,29,2007-07-26 00:00:00,2016-07-19 09:00:00,25.54767180827586,91.37287012758621
Mizoram,27,2007-07-30 00:00:00,2016-07-28 23:00:00,23.625463534074076,92.8074883485185
Goa,22,2007-07-28 00:00:00,2016-07-12 00:00:00,15.41770909090909,73.92173636363636
Andhra Pradesh,21,2007-06-25 00:00:00,2016-07-23 23:00:00,16.734971428571427,80.68921904761905
Unknown,20,2007-04-11 00:00:00,2013-12-10 10:30:00,25.693606082500004,86.3562208995
Rajasthan,6,2007-08-14 00:00:00,2015-07-28 00:00:00,25.260483333333337,74.04856666666667
Odisha,6,2014-10-12 00:00:00,2016-06-26 00:00:00,19.093016666666667,83.61703333333334
Uttar Pradesh,5,2008-10-12 00:00:00,2016-07-31 00:00:00,27.01108,79.74048
Haryana,4,2008-09-22 00:00:00,2014-08-04 23:00:00,30.630825,77.0286
Nct,4,2011-08-27 00:00:00,2015-12-24 10:00:00,28.646225,77.2096
Orissa,3,2007-09-23 00:00:00,2013-08-10 10:00:00,20.9226,83.6706
Jharkhand,3,2013-07-11 00:00:00,2015-07-18 17:30:00,25.124633333333335,85.67623333333334
Bihar,3,2014-08-09 08:00:00,2016-06-05 23:00:00,24.899600000000003,85.16996666666667
Tripura,3,2010-06-03 00:00:00,2014-08-14 23:00:00,23.6673,91.64786666666667
Andaman And Nicobar Islands,1,2015-08-06 00:00:00,2015-08-06 00:00:00,11.6753,92.749
Gujarāt,1,2009-11-20 18:30:00,2009-11-20 18:30:00,23.0396,72.566
Gujarat,1,2014-08-20 18:00:00,2014-08-20 18:00:00,20.5349,73.1703
Madhya Pradesh,1,2016-03-07 00:00:00,2016-03-07 00:00:00,22.1337,78.8979
Karnātaka,1,2008-02-08 00:00:00,2008-02-08 00:00:00,12.9752,77.6092
Telangana,1,2016-10-17 07:00:00,2016-10-17 07:00:00,17.4655,78.4606
State Of Odisha,1,2014-08-03 09:00:00,2014-08-03 09:00:00,19.1497,83.6299
