event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
35,2007-03-12 00:00:00,2007,3,71,India,IN,Kashmir,Jammu and Kashmir,False,34.0935,74.9112,landslide,rain,medium,unknown,2.0,,Jammu-Srinagar highway,Jammu-Srinagar highway
37,2007-03-19 00:00:00,2007,3,78,India,IN,Kashmir,Jammu and Kashmir,False,33.8778,74.3333,landslide,rain,medium,unknown,2.0,,Doba,Doba
43,2007-03-23 00:00:00,2007,3,82,India,IN,Kashmir,Jammu and Kashmir,False,33.9659,74.3313,landslide,downpour,medium,unknown,10.0,,"Doba Sayedan, Kashmir","Doba Sayedan, Kashmir"
57,2007-04-11 00:00:00,2007,4,101,India,IN,,Unknown,False,27.4459,88.6193,landslide,downpour,medium,unknown,,,"Sikkim, 13 km north of Gangtok","Sikkim, 13 km north of Gangtok"
73,2007-05-08 00:00:00,2007,5,128,India,IN,Kashmir,Jammu and Kashmir,False,33.242,75.231,landslide,rain,medium,unknown,,,"Jammu-Srinagar hwy, Samarouli in Ramban district","Jammu-Srinagar hwy, Samarouli in Ramban district"
78,2007-05-23 00:00:00,2007,5,143,India,IN,Sikkim,Sikkim,True,27.3383,88.6069,landslide,rain,medium,unknown,,,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim"
93,2007-06-13 00:00:00,2007,6,164,India,IN,Bengal,West Bengal,False,26.7324,88.4089,landslide,rain,small,unknown,,,"Indira Bypass, Amdo Golai","Indira Bypass, Amdo Golai"
94,2007-06-15 00:00:00,2007,6,166,India,IN,Bengal,West Bengal,False,26.8096,88.526,landslide,rain,medium,unknown,,,National Highway 31A at Sevoke,National Highway 31A at Sevoke
103,2007-06-25 00:00:00,2007,6,176,India,IN,Andhra Pradesh,Andhra Pradesh,False,14.4702,78.8205,landslide,rain,medium,unknown,,,Cuddappa,Cuddappa
102,2007-06-25 00:00:00,2007,6,176,India,IN,Andhra Pradesh,Andhra Pradesh,False,15.8294,78.0501,landslide,rain,medium,unknown,,,Kurnool,Kurnool
