record_id,source,state,district,slide_name,location,latitude,longitude,material,movement_type,event_year,event_month,history,is_ner
NASA-7616,NASA,Andaman And Nicobar Islands,Andaman and Nicobar Islands,Atlanta Point,Atlanta Point,11.6753,92.749,,other,2015.0,8.0,2015-08-06 00:00:00,False
NASA-102,NASA,Andhra Pradesh,Andhra Pradesh,Kurnool,Kurnool,15.8294,78.0501,,landslide,2007.0,6.0,2007-06-25 00:00:00,False
NASA-103,NASA,Andhra Pradesh,Andhra Pradesh,Cuddappa,Cuddappa,14.4702,78.8205,,landslide,2007.0,6.0,2007-06-25 00:00:00,False
NASA-104,NASA,Andhra Pradesh,Andhra Pradesh,Prakasam,Prakasam,16.6252,80.6128,,landslide,2007.0,6.0,2007-06-25 00:00:00,False
NASA-181,NASA,Andhra Pradesh,Andhra Pradesh,Koti railway station,Koti railway station,17.3895,78.499,,landslide,2007.0,8.0,2007-08-13 00:00:00,False
NASA-98,NASA,Andhra Pradesh,Andhra Pradesh,Karimnagar,Karimnagar,18.431,79.1492,,landslide,2007.0,6.0,2007-06-25 00:00:00,False
NASA-1884,NASA,Andhra Pradesh,Andhra Pradesh,Vijaywada(Vijayawada),Vijaywada(Vijayawada),16.5121,80.6296,,landslide,2010.0,5.0,2010-05-20 23:00:00,False
NASA-2338,NASA,Andhra Pradesh,Andhra Pradesh,"ghat road leading to Sri Kanakadurga(Kanaka Durga) temple, Indrakeeladri hill, Vijayawada city, Andhra Pradesh","ghat road leading to Sri Kanakadurga(Kanaka Durga) temple, Indrakeeladri hill, Vijayawada city, Andhra Pradesh",16.5141,80.6053,,complex,2010.0,8.0,2010-08-26 09:00:00,False
NASA-2368,NASA,Andhra Pradesh,Andhra Pradesh,"Brahmananda Reddy Nagar(?), Machavaram, Vijayawada city, Andhra Pradesh","Brahmananda Reddy Nagar(?), Machavaram, Vijayawada city, Andhra Pradesh",16.5157,80.6525,,landslide,2010.0,8.0,2010-08-31 09:00:00,False
NASA-2369,NASA,Andhra Pradesh,Andhra Pradesh,"Chittinagar, Vijayawada city, Andhra Pradesh","Chittinagar, Vijayawada city, Andhra Pradesh",16.5332,80.6103,,landslide,2010.0,8.0,2010-08-31 00:00:00,False
NASA-2439,NASA,Andhra Pradesh,Andhra Pradesh,"Indrakeeladri ghat rd, Vijayawada, Andhra Pradesh","Indrakeeladri ghat rd, Vijayawada, Andhra Pradesh",16.5141,80.6055,,landslide,2010.0,9.0,2010-09-17 09:00:00,False
NASA-2590,NASA,Andhra Pradesh,Andhra Pradesh,"ghat road of the Kanaka Durga temple, Vijayawada district","ghat road of the Kanaka Durga temple, Vijayawada district",16.5141,80.6058,,landslide,2010.0,10.0,2010-10-11 00:00:00,False
NASA-2676,NASA,Andhra Pradesh,Andhra Pradesh,"railroad between Chimidipalli and Borra caves stations, Andhra Pradesh","railroad between Chimidipalli and Borra caves stations, Andhra Pradesh",18.2733,83.0645,,landslide,2010.0,10.0,2010-10-31 00:00:00,False
NASA-5399,NASA,Andhra Pradesh,Andhra Pradesh,"Borra Caves, Andhra Pradesh","Borra Caves, Andhra Pradesh",18.2807,83.0394,,rock_fall,2013.0,8.0,2013-08-25 15:00:00,False
NASA-5617,NASA,Andhra Pradesh,Andhra Pradesh,"Chrsiturajupuram, Vijayawada, Andhra Pradesh","Chrsiturajupuram, Vijayawada, Andhra Pradesh",16.5175,80.6117,,landslide,2013.0,10.0,2013-10-25 00:00:00,False
NASA-5650,NASA,Andhra Pradesh,Andhra Pradesh,"Tirumala, Andhra Pradesh","Tirumala, Andhra Pradesh",13.6529,79.3439,,rock_fall,2013.0,11.0,2013-11-17 06:00:00,False
NASA-6250,NASA,Andhra Pradesh,Andhra Pradesh,Medrasula village of Madula panchayat of Araku mandal,Medrasula village of Madula panchayat of Araku mandal,18.3297,82.9565,,debris_flow,2014.0,10.0,2014-10-12 18:00:00,False
NASA-7123,NASA,Andhra Pradesh,Andhra Pradesh,"Head Water Works, Kummaripalem, Vijayawada","Head Water Works, Kummaripalem, Vijayawada",16.5172,80.6024,,landslide,2015.0,4.0,2015-04-26 00:00:00,False
NASA-8571,NASA,Andhra Pradesh,Andhra Pradesh,"Simhagiri Colony, Azeemabad, Pedagantyada, Visakhapatnam, Andhra Pradesh, India","Simhagiri Colony, Azeemabad, Pedagantyada, Visakhapatnam, Andhra Pradesh, India",17.6874,83.1993,,landslide,2015.0,10.0,2015-10-02 00:00:00,False
NASA-9096,NASA,Andhra Pradesh,Andhra Pradesh,Thatichetlapalem,Thatichetlapalem,17.7345,83.2884,,landslide,2015.0,12.0,2015-12-19 00:00:00,False
NASA-7736,NASA,Andhra Pradesh,Andhra Pradesh,Gunadala hill of Vijayawada,Gunadala hill of Vijayawada,16.5145,80.6526,,rock_fall,2016.0,6.0,2016-06-02 02:00:00,False
NASA-9178,NASA,Andhra Pradesh,Andhra Pradesh,"road leading to Patala Ganga and the ropeway in Srisailam, Andhra Pradesh, India","road leading to Patala Ganga and the ropeway in Srisailam, Andhra Pradesh, India",16.0781,78.8743,,rock_fall,2016.0,7.0,2016-07-23 23:00:00,False
GSI-2081,GSI,Andhra Pradesh,Visakhapatanam,,Along SH-39,18.230472,83.027111,Rock,Slide,,,,False
GSI-2082,GSI,Andhra Pradesh,Visakhapatanam,,South west of Pulaguda Village,18.236856,83.028464,Rock,Fall,,,,False
GSI-2083,GSI,Andhra Pradesh,Visakhapatanam,,"Muliaguda (opposite SH-39, fifty meters away from SH )",18.240753,83.030742,Debris,Slide,,,,False
GSI-2084,GSI,Andhra Pradesh,Visakhapatanam,,1km north of Mardaguda,18.246003,82.997139,Rock,Slide,,,,False
GSI-2085,GSI,Andhra Pradesh,Visakhapatanam,,Anantagiri,18.252342,82.991439,Debris,Slide,,,,False
GSI-2086,GSI,Andhra Pradesh,Visakhapatanam,,Along SH-39,18.254583,82.991517,Rock,Fall,,,,False
GSI-2087,GSI,Andhra Pradesh,Visakhapatanam,,Galikonda (Beespuram),18.254817,82.991942,Rock,Fall,,,,False
GSI-2088,GSI,Andhra Pradesh,Visakhapatanam,,NW of Beespuram,18.254817,82.991942,Rock,Fall,,,,False
GSI-2089,GSI,Andhra Pradesh,Visakhapatanam,,Galikonda (Culvert ΓÇô 92/1),18.257981,82.992014,Rock,Fall,,,,False
GSI-2090,GSI,Andhra Pradesh,Visakhapatanam,,Along SH 39,18.258925,82.985553,Rock,Slide,,,,False
GSI-2091,GSI,Andhra Pradesh,Visakhapatanam,,Along SH 39,18.260186,82.986625,Rock cum debris,Slide,,,,False
GSI-2092,GSI,Andhra Pradesh,Visakhapatanam,,Along SH-39,18.264242,82.988536,Rock,Slide,,,,False
GSI-2093,GSI,Andhra Pradesh,Visakhapatanam,,NW of Beespuram,18.268203,82.997358,Rock,Fall,,,,False
GSI-2094,GSI,Andhra Pradesh,Visakhapatanam,,NW of Beespuram,18.271922,82.997775,Debris,Slide,,,,False
GSI-2095,GSI,Andhra Pradesh,Visakhapatanam,,"Galikonda, Near Hanuman temple",18.276489,82.990033,Debris,Slide,,,,False
