nasa_event_id,gsi_sl_no,distance_km,nasa_year,gsi_history_year,match_type
35,,,2007,,additional_nasa_event
37,,,2007,,additional_nasa_event
43,,,2007,,additional_nasa_event
57,,,2007,,additional_nasa_event
73,,,2007,,additional_nasa_event
78,26743,0.4373,2007,,likely_duplicate
93,,,2007,,additional_nasa_event
94,,,2007,,additional_nasa_event
103,,,2007,,additional_nasa_event
102,,,2007,,additional_nasa_event
98,,,2007,,additional_nasa_event
99,,,2007,,additional_nasa_event
100,,,2007,,additional_nasa_event
97,,,2007,,additional_nasa_event
101,,,2007,,additional_nasa_event
104,,,2007,,additional_nasa_event
111,,,2007,,additional_nasa_event
126,26120,0.9829,2007,,likely_duplicate
130,,,2007,,additional_nasa_event
131,,,2007,,additional_nasa_event
133,,,2007,,additional_nasa_event
141,20005,0.3891,2007,,likely_duplicate
142,,,2007,,additional_nasa_event
143,,,2007,,additional_nasa_event
150,,,2007,,additional_nasa_event
147,20928,0.6354,2007,,likely_duplicate
146,,,2007,,additional_nasa_event
149,,,2007,,additional_nasa_event
148,20884,0.1511,2007,,likely_duplicate
151,28785,0.4876,2007,2006.0,likely_duplicate
157,,,2007,,additional_nasa_event
162,16238,0.2604,2007,,likely_duplicate
166,,,2007,,additional_nasa_event
173,,,2007,,additional_nasa_event
177,,,2007,,additional_nasa_event
178,7021,0.188,2007,,likely_duplicate
181,,,2007,,additional_nasa_event
183,,,2007,,additional_nasa_event
210,29706,0.1871,2007,,likely_duplicate
213,,,2007,,additional_nasa_event
212,,,2007,,additional_nasa_event
211,,,2007,,additional_nasa_event
215,,,2007,,additional_nasa_event
218,29207,0.4081,2007,2009.0,likely_duplicate
221,,,2007,,additional_nasa_event
220,,,2007,,additional_nasa_event
222,,,2007,,additional_nasa_event
234,11001,0.1691,2007,,likely_duplicate
231,29662,0.2804,2007,2007.0,likely_duplicate
237,,,2007,,additional_nasa_event
240,,,2007,,additional_nasa_event
241,26258,0.454,2007,,likely_duplicate
242,28785,0.5885,2007,2006.0,likely_duplicate
247,,,2007,,additional_nasa_event
252,,,2007,,additional_nasa_event
251,26202,0.1495,2007,,likely_duplicate
256,26529,0.2818,2007,,likely_duplicate
255,18210,0.1811,2007,,likely_duplicate
259,20118,0.358,2007,,likely_duplicate
260,,,2007,,additional_nasa_event
258,,,2007,,additional_nasa_event
264,508,0.662,2007,,likely_duplicate
