event_id,event_date,event_year,event_month,event_day_of_year,country_name,country_code,admin_division_name,state_normalized,is_ner,latitude,longitude,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,event_title,location_description
78,2007-05-23 00:00:00,2007,5,143,India,IN,Sikkim,Sikkim,True,27.3383,88.6069,landslide,rain,medium,unknown,,,"Pangthang, on road b/t Gangtok and North Sikkim","Pangthang, on road b/t Gangtok and North Sikkim"
126,2007-07-16 00:00:00,2007,7,197,India,IN,Sikkim,Sikkim,True,27.1499,88.38,mudslide,rain,medium,unknown,,,Bardang near Singtam,Bardang near Singtam
130,2007-07-19 00:00:00,2007,7,200,India,IN,Assam,Assam,True,26.1699,91.7986,landslide,rain,medium,unknown,6.0,,Guwahati,Guwahati
141,2007-07-26 00:00:00,2007,7,207,India,IN,Meghālaya,Meghalaya,True,25.38,91.88,landslide,rain,medium,unknown,,,Singtam,Singtam
142,2007-07-27 00:00:00,2007,7,208,India,IN,Meghālaya,Meghalaya,True,25.5212,90.232,rock_fall,rain,large,unknown,8.0,,Tura,Tura
147,2007-07-30 00:00:00,2007,7,211,India,IN,Mizoram,Mizoram,True,22.533,92.899,landslide,downpour,medium,unknown,,,Lawngtlai,Lawngtlai
148,2007-07-30 00:00:00,2007,7,211,India,IN,Mizoram,Mizoram,True,22.479,92.967,landslide,downpour,medium,unknown,,,Saiha,Saiha
213,2007-08-26 00:00:00,2007,8,238,India,IN,Assam,Assam,True,25.2946,92.8339,landslide,rain,medium,unknown,,,Shillong Road at Kuliang in the Jaintia Hills,Shillong Road at Kuliang in the Jaintia Hills
212,2007-08-26 00:00:00,2007,8,238,India,IN,Meghālaya,Meghalaya,True,25.5576,91.8506,complex,rain,medium,unknown,,,National Highway No 44 at Sonarpur in Meghalaya,National Highway No 44 at Sonarpur in Meghalaya
211,2007-08-26 00:00:00,2007,8,238,India,IN,Manipur,Manipur,True,24.9667,93.55,mudslide,continuous_rain,medium,unknown,1.0,,Tamenglong,Tamenglong
215,2007-08-28 00:00:00,2007,8,240,India,IN,Nāgāland,Nagaland,True,25.7428,93.9136,landslide,rain,medium,unknown,1.0,,Phesema area at National Highway 39,Phesema area at National Highway 39
220,2007-08-31 00:00:00,2007,8,243,India,IN,Manipur,Manipur,True,25.1333,93.9667,landslide,rain,medium,unknown,,,"Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)","Velnal village, Tamei sub-division and Toribari village (3 kilometer toward Tamei from Kangpokpi)"
247,2007-09-08 00:00:00,2007,9,251,India,IN,Manipur,Manipur,True,25.0604,93.9877,landslide,rain,medium,unknown,,,"Lower Shajouba village near Tadubi along NH 39, Manipur ","Lower Shajouba village near Tadubi along NH 39, Manipur "
252,2007-09-09 00:00:00,2007,9,252,India,IN,Nāgāland,Nagaland,True,25.4993,94.1192,landslide,rain,medium,unknown,,,"Mao in Manipur, Phipema and Chunikhudima in Nagaland","Mao in Manipur, Phipema and Chunikhudima in Nagaland"
251,2007-09-09 00:00:00,2007,9,252,India,IN,Sikkim,Sikkim,True,27.1667,88.35,landslide,rain,medium,unknown,1.0,,Hingdam village in South Sikkim,Hingdam village in South Sikkim
256,2007-09-10 00:00:00,2007,9,253,India,IN,Sikkim,Sikkim,True,27.3425,88.6236,landslide,rain,medium,unknown,,,Rhodong village near Rhey in East Sikkim,Rhodong village near Rhey in East Sikkim
255,2007-09-10 00:00:00,2007,9,253,India,IN,Manipur,Manipur,True,24.2451,94.0691,landslide,rain,medium,unknown,,,Wamkhu village along the Tengnoupal-Joupi road in Chandel district,Wamkhu village along the Tengnoupal-Joupi road in Chandel district
259,2007-09-11 00:00:00,2007,9,254,India,IN,Meghālaya,Meghalaya,True,25.52,91.27,landslide,rain,medium,unknown,,,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya","Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya"
258,2007-09-11 00:00:00,2007,9,254,India,IN,Manipur,Manipur,True,24.4279,94.0564,landslide,rain,medium,unknown,3.0,,"NH-39 at Imphal-Moreh section, Lokchao largest event","NH-39 at Imphal-Moreh section, Lokchao largest event"
264,2007-09-13 00:00:00,2007,9,256,India,IN,Assam,Assam,True,26.1833,91.8,landslide,rain,medium,unknown,,,Guwahati,Guwahati
269,2007-09-18 00:00:00,2007,9,261,India,IN,Sikkim,Sikkim,True,27.2872,88.2816,landslide,rain,medium,unknown,,,Geyzing-Jorethang road and Naya Bazar-Legship road,Geyzing-Jorethang road and Naya Bazar-Legship road
285,2007-09-29 00:00:00,2007,9,272,India,IN,Mizoram,Mizoram,True,24.1293,92.6921,landslide,rain,medium,unknown,,,"National Highway, 45 Aizwal (Mizoram)","National Highway, 45 Aizwal (Mizoram)"
313,2007-10-16 00:00:00,2007,10,289,India,IN,Nāgāland,Nagaland,True,25.7055,94.0132,landslide,rain,large,unknown,,,"NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland","NH-39 at Piphema,  6 km towards Dimapur from Kohima in Nagaland"
319,2007-10-19 00:00:00,2007,10,292,India,IN,Nāgāland,Nagaland,True,25.4379,94.1162,landslide,rain,medium,unknown,,,"Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur","Maram-Purul Road, Karong Assembly Constituency of Senapati district, Manipur"
322,2007-10-21 00:00:00,2007,10,294,India,IN,Assam,Assam,True,24.75,93.4333,landslide,rain,medium,unknown,,,National Highway 53 at Nungba in Tamenglong district of Manipur,National Highway 53 at Nungba in Tamenglong district of Manipur
545,2008-05-20 00:00:00,2008,5,141,India,IN,Assam,Assam,True,24.9849,92.8411,mudslide,mining,medium,unknown,5.0,,"A Cachar District village, near village of Srinager, Assam","A Cachar District village, near village of Srinager, Assam"
580,2008-06-09 00:00:00,2008,6,161,India,IN,Manipur,Manipur,True,24.6596,93.9784,landslide,monsoon,medium,unknown,,,"near Kuloor church, in Manipur along National Highway","near Kuloor church, in Manipur along National Highway"
585,2008-06-14 00:00:00,2008,6,166,India,IN,Arunāchal Pradesh,Arunachal Pradesh,True,27.0998,93.6287,landslide,rain,large,unknown,21.0,,"Itanagar-Naharlagun, Arunachal Pradesh","Itanagar-Naharlagun, Arunachal Pradesh"
587,2008-06-15 00:00:00,2008,6,167,India,IN,Assam,Assam,True,27.2298,94.0989,landslide,downpour,medium,unknown,17.0,,"Lakhimpur district, Bihpuria, Assam","Lakhimpur district, Bihpuria, Assam"
594,2008-06-19 00:00:00,2008,6,171,India,IN,Manipur,Manipur,True,24.9336,93.8275,mudslide,monsoon,medium,unknown,,,"Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur","Namkaoluang village, Tamenglong-Sangrung (Khongsang) road, NH-53, Manipur"
692,2008-08-07 00:00:00,2008,8,220,India,IN,Nāgāland,Nagaland,True,25.705,94.04,landslide,downpour,medium,unknown,,,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland","National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland"
714,2008-08-14 00:00:00,2008,8,227,India,IN,Assam,Assam,True,27.163,94.0,landslide,rain,medium,unknown,,,"Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh","Kimin-Ziro road in Papum Pare district, road between Doimukh and Sagalee, Doimukh-Hoj road; Arunachal Pradesh"
731,2008-08-19 00:00:00,2008,8,232,India,IN,Nāgāland,Nagaland,True,26.138,94.25,mudslide,downpour,medium,unknown,4.0,,"Akuk village, Wokha District, Nagaland","Akuk village, Wokha District, Nagaland"
755,2008-08-28 00:00:00,2008,8,241,India,IN,Sikkim,Sikkim,True,27.337,88.609,landslide,downpour,medium,unknown,,,"Ranka, Sikkim and Louing road","Ranka, Sikkim and Louing road"
760,2008-08-29 00:00:00,2008,8,242,India,IN,Nāgāland,Nagaland,True,25.67,94.1066,complex,downpour,medium,unknown,,,"Kohima, Nagaland","Kohima, Nagaland"
870,2008-10-29 00:00:00,2008,10,303,India,IN,Arunāchal Pradesh,Arunachal Pradesh,True,27.4,92.35,mudslide,downpour,medium,unknown,12.0,,"West Kameng, Arunachal Pradesh","West Kameng, Arunachal Pradesh"
868,2008-10-29 00:00:00,2008,10,303,India,IN,Assam,Assam,True,26.3333,91.25,landslide,downpour,medium,unknown,7.0,,"Kamrup, and Sonitpur, Assam","Kamrup, and Sonitpur, Assam"
869,2008-10-29 00:00:00,2008,10,303,India,IN,Assam,Assam,True,27.2333,94.1167,landslide,downpour,medium,unknown,,,North Lakhimpur ,North Lakhimpur 
1084,2009-08-12 00:00:00,2009,8,224,India,IN,Arunāchal Pradesh,Arunachal Pradesh,True,27.7,92.8,landslide,downpour,medium,unknown,0.0,,"Upper Subansiri District, Arunanchal Pradesh","Upper Subansiri District, Arunanchal Pradesh"
