record_id,source,state,district,slide_name,location,latitude,longitude,material,movement_type,event_year,event_month,history,is_ner
GSI-1418,GSI,Arunachal Pradesh,Anjaw,,Tezu-Hayuliang road,27.98333,96.40433,Debris,Slide,2012.0,,2012,True
GSI-1451,GSI,Arunachal Pradesh,Anjaw,Khupapolice check gate,Tezu-Hayuliang road,28.06356,96.50075,Debris,Slide,2012.0,,2012,True
GSI-1467,GSI,Arunachal Pradesh,Anjaw,,Road from Hayuliang to Hamaliang,28.09311,96.53622,Rock,Slide,2012.0,,2012,True
GSI-1494,GSI,Arunachal Pradesh,Anjaw,,H.M.C. Road,28.11142,96.54528,Rock,Slide,2012.0,,2012,True
GSI-1499,GSI,Arunachal Pradesh,Anjaw,,H.M.C. Road,28.11594,96.54689,Rock,Slide,2012.0,,2012,True
GSI-1563,GSI,Arunachal Pradesh,Anjaw,,H. M. C. Road,28.18525,96.53256,Debris,Slide,2012.0,,2012,True
GSI-1683,GSI,Arunachal Pradesh,Anjaw,,H. M. C. Road,28.2625,96.5465,Rock,Slide,2012.0,,2012,True
GSI-1718,GSI,Arunachal Pradesh,Anjaw,,HMC road,28.27378,96.57031,Debris,Slide,2012.0,,2012,True
GSI-1419,GSI,Arunachal Pradesh,Anjaw,,Tezu-Hayuliang road,27.98728,96.41208,Debris,Slide,2013.0,,2013,True
GSI-1428,GSI,Arunachal Pradesh,Anjaw,78 km slide,Tezu-Hayuliang road,28.01661,96.44172,Rock cum Debris,Complex,2013.0,,2013,True
GSI-1454,GSI,Arunachal Pradesh,Anjaw,Hayuliang Slide,HMC road,28.08014,96.52356,Debris,Topple,2013.0,,2013,True
GSI-1456,GSI,Arunachal Pradesh,Anjaw,9 JAK Camp slide,Hayuliang-Wallong road,28.08019,96.54483,Debris,Flow,2013.0,,2013,True
GSI-1492,GSI,Arunachal Pradesh,Anjaw,3.5 km slide,HMC road,28.10714,96.54489,Rock,Fall,2013.0,,2013,True
GSI-1501,GSI,Arunachal Pradesh,Anjaw,5.4 km HMC slide,HMC road,28.11781,96.54906,Debris,Flow,2013.0,,2013,True
GSI-1523,GSI,Arunachal Pradesh,Anjaw,9 km Slide,HMC road,28.14531,96.54897,Rock,Slide,2013.0,,2013,True
GSI-1531,GSI,Arunachal Pradesh,Anjaw,Chipru slide,HMC road,28.15292,96.53858,Rock,Slide,2013.0,,2013,True
GSI-1536,GSI,Arunachal Pradesh,Anjaw,Teapani river slide,H. M. C. Road,28.16206,96.53061,Debris,Topple,2013.0,,2013,True
GSI-1546,GSI,Arunachal Pradesh,Anjaw,,HMC road,28.16939,96.52578,Rock,Slide,2013.0,,2013,True
GSI-1562,GSI,Arunachal Pradesh,Anjaw,,HMC road,28.18439,96.53453,Debris,Slide,2013.0,,2013,True
GSI-1572,GSI,Arunachal Pradesh,Anjaw,Metenliang 2.5 km slide,HMC road,28.19597,96.53733,Debris,Slide,2013.0,,2013,True
GSI-1584,GSI,Arunachal Pradesh,Anjaw,Metengliang slide,H. M. C. Road,28.20867,96.53222,Debris,Slide,2013.0,,2013,True
GSI-1591,GSI,Arunachal Pradesh,Anjaw,Bamlan Slide,HMC road,28.21483,96.53911,Debris,Slide,2013.0,,2013,True
GSI-1604,GSI,Arunachal Pradesh,Anjaw,32.4 km Slide,HMC road,28.22328,96.55303,Rock,Slide,2013.0,,2013,True
