sample_id,target,sample_type,event_date,latitude,longitude,state,is_ner,month,year,rain_1d,rain_3d,rain_7d,precip_1d,precip_3d,precip_7d,precip_hours_1d,precip_hours_3d,precip_hours_7d,temp_mean,temp_max,temp_min,wind_max
POS_00005,1,landslide_event,2007-05-08,33.242,75.231,Jammu and Kashmir,False,5,2007,1.5,1.5,6.3999999999999995,1.5,1.5,6.3999999999999995,4.0,4.0,15.0,18.0,23.5,11.0,8.7
CTRL_00006,0,matched_control,2007-05-29,33.242,75.231,Jammu and Kashmir,False,5,2007,4.5,15.0,21.400000000000002,4.5,15.0,21.400000000000002,6.0,19.0,30.0,17.1,22.0,10.1,7.4
CTRL_00012,0,matched_control,2007-06-04,14.4702,78.8205,Andhra Pradesh,False,6,2007,2.5,3.5999999999999996,4.699999999999999,2.5,3.5999999999999996,4.699999999999999,2.0,4.0,6.0,32.7,39.2,28.0,13.6
CTRL_00022,0,matched_control,2007-06-04,16.9648,73.5189,Maharashtra,False,6,2007,3.9,15.000000000000002,37.2,3.9,15.000000000000002,37.2,4.0,20.0,45.0,29.5,33.4,25.9,17.3
POS_00010,1,landslide_event,2007-06-15,26.8096,88.526,West Bengal,False,6,2007,49.9,110.0,365.7,49.9,110.0,365.7,24.0,67.0,130.0,25.6,27.0,23.8,7.6
POS_00011,1,landslide_event,2007-06-25,14.4702,78.8205,Andhra Pradesh,False,6,2007,0.2,12.0,93.1,0.2,12.0,93.1,1.0,28.0,81.0,29.5,33.2,25.1,27.1
POS_00021,1,landslide_event,2007-06-25,16.9648,73.5189,Maharashtra,False,6,2007,40.3,248.89999999999998,458.1,40.3,248.89999999999998,458.1,24.0,72.0,166.0,26.3,28.3,24.6,20.9
POS_00027,1,landslide_event,2007-07-02,33.2443135,75.22742083,Jammu and Kashmir,False,7,2007,4.9,13.8,56.000000000000014,4.9,13.8,56.000000000000014,11.0,32.0,78.0,21.0,24.7,17.3,7.1
CTRL_00036,0,matched_control,2007-07-06,25.5212,90.232,Meghalaya,True,7,2007,2.8,6.6000000000000005,30.8,2.8,6.6000000000000005,30.8,3.0,8.0,51.0,27.9,30.4,26.1,21.5
CTRL_00048,0,matched_control,2007-07-09,22.479,92.967,Mizoram,True,7,2007,5.2,22.3,147.2,5.2,22.3,147.2,10.0,32.0,107.0,22.7,26.7,20.0,7.7
POS_00030,1,landslide_event,2007-07-19,26.1699,91.7986,Assam,True,7,2007,8.2,36.9,162.8,8.2,36.9,162.8,19.0,47.0,123.0,28.2,30.4,26.8,13.6
CTRL_00028,0,matched_control,2007-07-23,33.2443135,75.22742083,Jammu and Kashmir,False,7,2007,1.8,14.7,26.1,1.8,14.7,26.1,7.0,30.0,50.0,21.2,24.6,18.3,6.6
POS_00035,1,landslide_event,2007-07-27,25.5212,90.232,Meghalaya,True,7,2007,62.9,175.3,254.6,62.9,175.3,254.6,24.0,72.0,152.0,25.3,27.5,23.9,14.2
